Record,New/Recap,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,PCRsex,PCRMorph,last updated:,17-Nov-2023,by:,DR,
207,N,2771-10099,WTSP,W166,YEL/YG,YEL/A,02-Nov-22,M,TS,,,,,
208,N,2941-15303,WTSP,W167,YEL/YG,DKB/A,06-Nov-22,F,WS,,,,,
209,N,2941-15306,WTSP,W168,YEL/YG,ORG/A,06-Nov-22,F,TS,,,,,
210,N,2941-15307,WTSP,W169,YEL/YG,GRN/A,06-Nov-22,M,WS,,,,,
211,N,2941-15309,WTSP,W170,YEL/YG,WHT/A,07-Nov-22,M,TS,,,,,
212,N,2941-15310,WTSP,W171,ORG/YG,RED/A,07-Nov-22,M,X,,,,,
213,N,2941-15311,WTSP,W172,ORG/YG,YEL/A,07-Nov-22,M,X,,,,,
214,N,2941-15313,WTSP,W173,ORG/YG,ORG/A,09-Nov-22,M,X,,,,,
215,N,2941-15314,WTSP,W174,ORG/YG,DKB/A,09-Nov-22,M,X,,,,,
216,N,2941-15315,WTSP,W175,ORG/YG,GRN/A,09-Nov-22,F,X,,,,,
217,N,2941-15316,WTSP,W176,ORG/YG,WHT/A,09-Nov-22,M,X,,,,,
218,N,2941-15317,WTSP,W177,YG/WHT,RED/A,09-Nov-22,F,X,,,,,
219,N,2941-15318,WTSP,W178,YG/WHT,YEL/A,09-Nov-22,F,X,,,,,
220,N,2941-15319,WTSP,W179,YG/WHT,ORG/A,09-Nov-22,F,X,,,,,
221,N,2941-15320,WTSP,W180,YG/WHT,DKB/A,09-Nov-22,M,TS,,,,,
222,N,2941-15321,WTSP,W181,YG/WHT,GRN/A,09-Nov-22,M,TS,,,,,
223,N,2941-15322,WTSP,W182,YG/WHT,WHT/A,23-Nov-22,M,WS,,,,,
224,N,2941-15323,WTSP,W183,LAV/DKB,DKB/A,23-Nov-22,M,WS,,,,,
225,N,2941-15324,WTSP,W184,LAV/ORG,DKB/A,23-Nov-22,M,X,,,,,
226,N,2941-15325,WTSP,W185,LAV/WHT,DKB/A,23-Nov-22,M,X,,,,,
227,N,2941-15327,WTSP,W186,LAV/GRN,DKB/A,23-Nov-22,M,X,,,,,
228,N,2941-15328,WTSP,W187,LAV/YEL,DKB/A,23-Nov-22,M,X,,,,,
229,N,2941-15332,WTSP,W188,LAV/RED,DKB/A,26-Nov-22,M,X,,,,,
230,N,2941-15333,WTSP,W189,LAV/RED,RED/A,26-Nov-22,M,X,,,,,
231,N,2941-15336,WTSP,W190,LAV/ORG,RED/A,11-Dec-22,F,X,,,,,
